StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
A AND N ISLANDS,NICOBAR,CAR NICOBAR,NA,AGRICULTURE,Others,Others,Government Schemes,Outbound call on Abandoned calls 	,"আপনার একটি মিসেড কল কিষান কল সেন্টারে এসেছিলো,যদি কোনো সমস্যা থেকে থাকে আপনি আমাদের টোল ফ্রি নম্বর ১৮০০-১৮০-১৫৫১ এ  কল করে নেবেন|এটি ভারত সরকারের কিষান কল সেন্টার , চাষবাসের সমস্ত রকমের তথ্য আপনি জানতে পারবেন , যেমন - রোগ পোকা প্রতিরোধ , সার প্রয়োগ ,আবহাওয়া ,বাজারদর , সরকারি প্রকল্প .আমাদের টোল ফ্রী নম্বর - ১৮০০১৮০১৫৫১, যেটি আপনার সপ্তাহের প্রতি দিন সকাল ৬ টা থেকে রাতি ১০ টা পর্যন্ত খোলা থাকবে।",2025-03-09T12:18:31.013,2025,3
A AND N ISLANDS,NICOBAR,CAMPBELL BAY,NA,AGRICULTURE,Others,Others,Government Schemes,Outbound call on Abandoned calls 	,"আপনার একটি মিসেড কল কিষান কল সেন্টারে এসেছিলো,যদি কোনো সমস্যা থেকে থাকে আপনি আমাদের টোল ফ্রি নম্বর ১৮০০-১৮০-১৫৫১ এ  কল করে নেবেন|এটি ভারত সরকারের কিষান কল সেন্টার , চাষবাসের সমস্ত রকমের তথ্য আপনি জানতে পারবেন , যেমন - রোগ পোকা প্রতিরোধ , সার প্রয়োগ ,আবহাওয়া ,বাজারদর , সরকারি প্রকল্প .আমাদের টোল ফ্রী নম্বর - ১৮০০১৮০১৫৫১, যেটি আপনার সপ্তাহের প্রতি দিন সকাল ৬ টা থেকে রাতি ১০ টা পর্যন্ত খোলা থাকবে।",2025-03-11T12:29:48.883,2025,3
A AND N ISLANDS,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,NA,AGRICULTURE,Others,Others,Government Schemes,Outbound call on Abandoned calls 	,"আপনার একটি মিসেড কল কিষান কল সেন্টারে এসেছিলো,যদি কোনো সমস্যা থেকে থাকে আপনি আমাদের টোল ফ্রি নম্বর ১৮০০-১৮০-১৫৫১ এ  কল করে নেবেন|এটি ভারত সরকারের কিষান কল সেন্টার , চাষবাসের সমস্ত রকমের তথ্য আপনি জানতে পারবেন , যেমন - রোগ পোকা প্রতিরোধ , সার প্রয়োগ ,আবহাওয়া ,বাজারদর , সরকারি প্রকল্প .আমাদের টোল ফ্রী নম্বর - ১৮০০১৮০১৫৫১, যেটি আপনার সপ্তাহের প্রতি দিন সকাল ৬ টা থেকে রাতি ১০ টা পর্যন্ত খোলা থাকবে।",2025-03-13T13:25:19.823,2025,3
A AND N ISLANDS,SOUTH ANDAMAN,LITTLE ANDAMAN,NA,AGRICULTURE,Others,Others,Government Schemes,Outbound call on Abandoned calls ,"আপনার একটি মিসেড কল কিষান কল সেন্টারে এসেছিলো,যদি কোনো সমস্যা থেকে থাকে আপনি আমাদের টোল ফ্রি নম্বর ১৮০০-১৮০-১৫৫১ এ  কল করে নেবেন|এটি ভারত সরকারের কিষান কল সেন্টার , চাষবাসের সমস্ত রকমের তথ্য আপনি জানতে পারবেন , যেমন - রোগ পোকা প্রতিরোধ , সার প্রয়োগ ,আবহাওয়া ,বাজারদর , সরকারি প্রকল্প .আমাদের টোল ফ্রী নম্বর - ১৮০০১৮০১৫৫১, যেটি আপনার সপ্তাহের প্রতি দিন সকাল ৬ টা থেকে রাতি ১০ টা পর্যন্ত খোলা থাকবে।",2025-03-08T13:02:24.797,2025,3
A AND N ISLANDS,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,NA,AGRICULTURE,Others,Others,Government Schemes,Outbound call on Abandoned calls ,"আপনার একটি মিসেড কল কিষান কল সেন্টারে এসেছিলো,যদি কোনো সমস্যা থেকে থাকে আপনি আমাদের টোল ফ্রি নম্বর ১৮০০-১৮০-১৫৫১ এ  কল করে নেবেন|এটি ভারত সরকারের কিষান কল সেন্টার , চাষবাসের সমস্ত রকমের তথ্য আপনি জানতে পারবেন , যেমন - রোগ পোকা প্রতিরোধ , সার প্রয়োগ ,আবহাওয়া ,বাজারদর , সরকারি প্রকল্প .আমাদের টোল ফ্রী নম্বর - ১৮০০১৮০১৫৫১, যেটি আপনার সপ্তাহের প্রতি দিন সকাল ৬ টা থেকে রাতি ১০ টা পর্যন্ত খোলা থাকবে।",2025-03-08T12:56:36.567,2025,3
A AND N ISLANDS,NICOBAR,NANCOWRIE,NA,AGRICULTURE,Others,Others,Government Schemes,ASKING ABOUT THE MOBILE NUMBER REGISTERED ISSUE IN PRADHAN MANTRI KISAN SAMMAN NIDHI YOJANA .,"eKYC is MANDATORY for PMKISAN Registered Farmers. OTP Based eKYC is available on PMKISAN Portal or nearest CSC centres may be contacted for Biometric based eKYC.

You will visit and contact your Agriculture Block Office for Update your Mobile Number.",2025-02-21T11:15:51.533,2025,2
A AND N ISLANDS,NICOBAR,CAMPBELL BAY,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,KISAN CALL CENTRE ABANDONE OUTBOUND CALL," ভারত সরকারের কিষান কল সেন্টার , চাষবাসের সমস্ত রকমের তথ্য আপনি জানতে পারবেন , যেমন - রোগ পোকা প্রতিরোধ , আবহাওয়া , বাজারদর , সরকারি প্রকল্প .আমাদের টোল ফ্রী নম্বর - ১৮০০১৮০১৫৫১, যেটি আপনার সপ্তাহের প্রতিদিন সকাল ৬টা থেকে রাত ১০টা পর্যন্ত খোলা থাকবে।",2025-02-28T17:52:51.137,2025,2
A AND N ISLANDS,NICOBAR,CAMPBELL BAY,NA,AGRICULTURE,Others,Others,Government Schemes,Outbound call on Abandoned calls ,"আপনার একটি মিসেড কল কিষান কল সেন্টারে এসেছিলো,যদি কোনো সমস্যা থেকে থাকে আপনি আমাদের টোল ফ্রি নম্বর ১৮০০-১৮০-১৫৫১ এ  কল করে নেবেন|এটি ভারত সরকারের কিষান কল সেন্টার , চাষবাসের সমস্ত রকমের তথ্য আপনি জানতে পারবেন , যেমন - রোগ পোকা প্রতিরোধ , সার প্রয়োগ ,আবহাওয়া ,বাজারদর , সরকারি প্রকল্প .আমাদের টোল ফ্রী নম্বর - ১৮০০১৮০১৫৫১, যেটি আপনার সপ্তাহের প্রতি দিন সকাল ৬ টা থেকে রাতি ১০ টা পর্যন্ত খোলা থাকবে।",2025-03-08T13:01:14.42,2025,3
A AND N ISLANDS,NICOBAR,CAMPBELL BAY,NA,AGRICULTURE,Others,Others,Government Schemes,Outbound call on Abandoned calls ,"আপনার একটি মিসেড কল কিষান কল সেন্টারে এসেছিলো,যদি কোনো সমস্যা থেকে থাকে আপনি আমাদের টোল ফ্রি নম্বর ১৮০০-১৮০-১৫৫১ এ  কল করে নেবেন|এটি ভারত সরকারের কিষান কল সেন্টার , চাষবাসের সমস্ত রকমের তথ্য আপনি জানতে পারবেন , যেমন - রোগ পোকা প্রতিরোধ , সার প্রয়োগ ,আবহাওয়া ,বাজারদর , সরকারি প্রকল্প .আমাদের টোল ফ্রী নম্বর - ১৮০০১৮০১৫৫১, যেটি আপনার সপ্তাহের প্রতি দিন সকাল ৬ টা থেকে রাতি ১০ টা পর্যন্ত খোলা থাকবে।",2025-03-08T13:02:46.087,2025,3
A AND N ISLANDS,NICOBAR,CAMPBELL BAY,NA,AGRICULTURE,Others,Others,Government Schemes,Outbound call on Abandoned calls 	,"আপনার একটি মিসেড কল কিষান কল সেন্টারে এসেছিলো,যদি কোনো সমস্যা থেকে থাকে আপনি আমাদের টোল ফ্রি নম্বর ১৮০০-১৮০-১৫৫১ এ  কল করে নেবেন|এটি ভারত সরকারের কিষান কল সেন্টার , চাষবাসের সমস্ত রকমের তথ্য আপনি জানতে পারবেন , যেমন - রোগ পোকা প্রতিরোধ , সার প্রয়োগ ,আবহাওয়া ,বাজারদর , সরকারি প্রকল্প .আমাদের টোল ফ্রী নম্বর - ১৮০০১৮০১৫৫১, যেটি আপনার সপ্তাহের প্রতি দিন সকাল ৬ টা থেকে রাতি ১০ টা পর্যন্ত খোলা থাকবে।",2025-03-08T13:30:15.657,2025,3
A AND N ISLANDS,NICOBAR,CAMPBELL BAY,NA,AGRICULTURE,Others,Others,Government Schemes,KISAN CALL CENTRE OUTBOUND CALL,"এটি ভারত সরকারের কিষান কল সেন্টার , চাষবাসের সমস্ত রকমের তথ্য আপনি জানতে পারবেন , যেমন - রোগ পোকা প্রতিরোধ , আবহাওয়া , বাজারদর , সরকারি প্রকল্প .আমাদের টোল ফ্রী নম্বর - ১৮০০১৮০১৫৫১, যেটি আপনার সপ্তাহের প্রতিদিন সকাল ৬টা থেকে রাত ১০টা পর্যন্ত খোলা থাকবে।",2025-03-08T15:55:04.84,2025,3
A AND N ISLANDS,NICOBAR,CAMPBELL BAY,NA,AGRICULTURE,Others,Others,Government Schemes,Outbound call on Abandoned calls 	,"আপনার একটি মিসেড কল কিষান কল সেন্টারে এসেছিলো,যদি কোনো সমস্যা থেকে থাকে আপনি আমাদের টোল ফ্রি নম্বর ১৮০০-১৮০-১৫৫১ এ  কল করে নেবেন|এটি ভারত সরকারের কিষান কল সেন্টার , চাষবাসের সমস্ত রকমের তথ্য আপনি জানতে পারবেন , যেমন - রোগ পোকা প্রতিরোধ , সার প্রয়োগ ,আবহাওয়া ,বাজারদর , সরকারি প্রকল্প .আমাদের টোল ফ্রী নম্বর - ১৮০০১৮০১৫৫১, যেটি আপনার সপ্তাহের প্রতি দিন সকাল ৬ টা থেকে রাতি ১০ টা পর্যন্ত খোলা থাকবে।",2025-03-13T13:34:36.473,2025,3
